epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,907.815,1.47972,1.60023,2.46226,0.97801,0,0.89401,0.16223,0.39921,0.23269,0.94701,0.17184,0.42752,0.21369,1.56017,1.75088,2.90041,1.02927,0,0.000661111,0.000661111,0.000661111
2,1818.79,1.43149,1.49938,1.5267,0.98059,0,0.81416,0.5,0.62693,0.36172,0.79778,0.49038,0.60358,0.25059,1.59074,3.12738,1.55052,1.10226,0,0.00130149,0.00130149,0.00130149
3,2708.88,1.44509,1.44862,1.28391,0.98343,0,0.73673,0.51603,0.57988,0.34395,0.64678,0.46365,0.49686,0.18729,1.57474,1.89612,1.65607,1.06858,0,0.00191546,0.00191546,0.00191546
4,3602.26,1.44248,1.5168,1.19815,0.98371,0,0.70874,0.5641,0.64364,0.36769,0.64913,0.53205,0.57429,0.23231,1.5968,1.82002,1.38437,1.08412,0,0.0018812,0.0018812,0.0018812
5,4500.68,1.40443,1.38316,1.09757,0.96893,0,0.6596,0.60244,0.61135,0.37778,0.63292,0.58333,0.57562,0.25389,1.48612,1.78246,1.48922,1.04485,0,0.0018416,0.0018416,0.0018416
6,5406.05,1.35889,1.39636,1.04013,0.95244,0,0.76789,0.62559,0.70134,0.43043,0.74044,0.55774,0.62503,0.27192,1.45845,1.80713,1.17156,1.02845,0,0.001802,0.001802,0.001802
7,6389.1,1.32843,1.3854,0.9878,0.94736,0,0.73778,0.60419,0.6885,0.4332,0.74874,0.57372,0.67499,0.37935,1.40725,1.61968,1.22895,0.99681,0,0.0017624,0.0017624,0.0017624
8,7335.97,1.29399,1.3003,0.95501,0.94115,0,0.71696,0.63782,0.69129,0.43945,0.68081,0.60897,0.64813,0.31506,1.38175,1.57605,1.1437,0.99927,0,0.0017228,0.0017228,0.0017228
9,8260.64,1.28707,1.23215,0.92549,0.9274,0,0.83875,0.58333,0.72471,0.44532,0.81833,0.5641,0.66652,0.29283,1.39421,1.56133,1.07916,0.9993,0,0.0016832,0.0016832,0.0016832
10,9328.66,1.24004,1.23999,0.88319,0.92305,0,0.85466,0.62197,0.74585,0.47848,0.86387,0.60577,0.72181,0.40401,1.3611,1.49253,1.10127,0.98518,0,0.0016436,0.0016436,0.0016436
11,10279.2,1.25028,1.21258,0.88275,0.92155,0,0.78283,0.64103,0.76557,0.50245,0.89062,0.57692,0.75418,0.43655,1.2796,1.46612,1.01103,0.95458,0,0.001604,0.001604,0.001604
12,17611.4,1.2373,1.25846,0.93839,0.91191,0,0.74032,0.69231,0.76669,0.49241,0.73004,0.68269,0.75333,0.39824,1.33472,1.51406,1.0145,0.96824,0,0.0015644,0.0015644,0.0015644
13,26237.6,1.21057,1.17141,0.85794,0.90711,0,0.82306,0.656,0.76771,0.51264,0.80714,0.64388,0.7353,0.40058,1.28333,1.43737,0.99887,0.95456,0,0.0015248,0.0015248,0.0015248
